House Vote #15 2023-01-06T13:46:00 - Election of the Speaker
person,state,district,vote,name,party
456915,NC,13,Jeffries,Rep. Wiley Nickel [D],Democrat
456916,NC,14,Jeffries,Rep. Jeffrey Jackson [D],Democrat
456917,NJ,7,McCarthy,Rep. Thomas Kean [R],Republican
456918,NJ,8,Jeffries,Rep. Robert Jacobsen Menendez [D],Democrat
456919,NM,2,Jeffries,Rep. Gabriel (Gabe) Vasquez [D],Democrat
456920,NY,1,McCarthy,Rep. Nicolas LaLota [R],Republican
456921,NY,3,McCarthy,"Rep. George Santos [R, 2023-2023]",Republican
456922,NY,4,McCarthy,Rep. Anthony D'Esposito [R],Republican
456923,NY,10,Jeffries,Rep. Dan Goldman [D],Democrat
456924,NY,17,McCarthy,Rep. Michael Lawler [R],Republican
456925,NY,19,McCarthy,Rep. Marcus Molinaro [R],Republican
456926,NY,22,McCarthy,Rep. Brandon Williams [R],Republican
