House Vote #1 2023-01-03T12:28:00 - Call By States
person,state,district,vote,name,party
456899,IL,1,Present,Rep. Jonathan Jackson [D],Democrat
456900,IL,3,Present,Rep. Delia Ramirez [D],Democrat
456901,IL,13,Present,Rep. Nicole (Nikki) Budzinski [D],Democrat
456902,IL,17,Present,Rep. Eric Sorensen [D],Democrat
456903,IN,9,Present,Rep. Erin Houchin [R],Republican
456904,KY,3,Present,Rep. Morgan McGarvey [D],Democrat
456905,MD,4,Present,Rep. Glenn Ivey [D],Democrat
456906,MI,3,Present,Rep. Hillary Scholten [D],Democrat
456907,MI,10,Present,Rep. John James [R],Republican
456908,MI,13,Present,Rep. Shri Thanedar [D],Democrat
456909,MO,4,Present,Rep. Mark Alford [R],Republican
456910,MO,7,Present,Rep. Eric Burlison [R],Republican
456911,MS,4,Present,Rep. Mike Ezell [R],Republican
456912,NC,1,Present,Rep. Donald Davis [D],Democrat
456913,NC,4,Present,Rep. Valerie Foushee [D],Democrat
456914,NC,11,Present,Rep. Charles (Chuck) Edwards [R],Republican
456915,NC,13,Present,Rep. Wiley Nickel [D],Democrat
456916,NC,14,Present,Rep. Jeffrey Jackson [D],Democrat
456917,NJ,7,Present,Rep. Thomas Kean [R],Republican
456918,NJ,8,Present,Rep. Robert Jacobsen Menendez [D],Democrat
456919,NM,2,Present,Rep. Gabriel (Gabe) Vasquez [D],Democrat
456920,NY,1,Present,Rep. Nicolas LaLota [R],Republican
456921,NY,3,Present,"Rep. George Santos [R, 2023-2023]",Republican
456922,NY,4,Present,Rep. Anthony D'Esposito [R],Republican
456923,NY,10,Present,Rep. Dan Goldman [D],Democrat
456924,NY,17,Present,Rep. Michael Lawler [R],Republican
456925,NY,19,Present,Rep. Marcus Molinaro [R],Republican
456926,NY,22,Present,Rep. Brandon Williams [R],Republican
456927,NY,23,Present,Rep. Nicholas Langworthy [R],Republican
456928,OH,1,Present,Rep. Greg Landsman [D],Democrat
456929,OH,7,Present,Rep. Max Miller [R],Republican
456930,OH,13,Present,Rep. Emilia Sykes [D],Democrat
456931,OK,2,Present,Rep. Josh Brecheen [R],Republican
456932,OR,4,Present,Rep. Valerie Hoyle [D],Democrat
456933,OR,5,Present,Rep. Lori Chavez-DeRemer [R],Republican
456934,OR,6,Present,Rep. Andrea Salinas [D],Democrat
456935,PA,12,Present,Rep. Summer Lee [D],Democrat
456936,PA,17,Present,Rep. Chris Deluzio [D],Democrat
456937,RI,2,Present,Rep. Seth Magaziner [D],Democrat
456938,SC,7,Present,Rep. Russell Fry [R],Republican
456939,TN,5,Present,Rep. Andrew Ogles [R],Republican
456940,TX,1,Present,Rep. Nathaniel Moran [R],Republican
456941,TX,3,Present,Rep. Keith Self [R],Republican
456942,TX,8,Present,Rep. Morgan Luttrell [R],Republican
456943,TX,15,Present,Rep. Mónica De La Cruz [R],Republican
456944,TX,30,Present,Rep. Jasmine Crockett [D],Democrat
456945,TX,35,Present,Rep. Gregorio Casar [D],Democrat
456946,TX,38,Present,Rep. Wesley Hunt [R],Republican
456947,VA,2,Present,Rep. Jennifer Kiggans [R],Republican
456948,VT,0,Present,Rep. Becca Balint [D],Democrat
456949,WA,3,Present,Rep. Marie Gluesenkamp Perez [D],Democrat
456950,WI,3,Present,Rep. Derrick Van Orden [R],Republican
456951,WY,0,Present,Rep. Harriet Hageman [R],Republican
