House Vote #601 2019-10-30T17:54:00 - On Motion to Recommit with Instructions: H.R. 1373: Grand Canyon Centennial Protection Act
person,state,district,vote,name,party
412607,NC,12,No,"Rep. Alma Adams [D, 2014-2024]",Democrat
412608,AL,6,Aye,"Rep. Gary Palmer [R, 2015-2024]",Republican
412609,AR,2,Aye,"Rep. French Hill [R, 2015-2024]",Republican
412610,AR,4,Aye,"Rep. Bruce Westerman [R, 2015-2024]",Republican
412612,AZ,7,No,"Rep. Ruben Gallego [D, 2015-2022]",Democrat
412613,CA,11,No,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat
412615,CA,31,No,"Rep. Pete Aguilar [D, 2015-2022]",Democrat
412616,CA,33,No,"Rep. Ted Lieu [D, 2015-2022]",Democrat
412617,CA,35,No,"Rep. Norma Torres [D, 2015-2024]",Democrat
412619,CO,4,Aye,"Rep. Ken Buck [R, 2015-2024]",Republican
412622,GA,1,Aye,"Rep. Earl “Buddy” Carter [R, 2015-2024]",Republican
412623,GA,10,Not Voting,"Rep. Jody Hice [R, 2015-2022]",Republican
412624,GA,11,Aye,"Rep. Barry Loudermilk [R, 2015-2024]",Republican
412625,GA,12,Aye,"Rep. Rick Allen [R, 2015-2024]",Republican
412629,IL,12,Aye,"Rep. Mike Bost [R, 2015-2024]",Republican
412630,LA,5,Aye,"Rep. Ralph Abraham [R, 2015-2020]",Republican
412631,LA,6,Aye,"Rep. Garret Graves [R, 2015-2024]",Republican
412632,MA,6,No,"Rep. Seth Moulton [D, 2015-2024]",Democrat
412634,MI,4,Aye,"Rep. John Moolenaar [R, 2015-2022]",Republican
412637,MI,12,No,"Rep. Debbie Dingell [D, 2015-2022]",Democrat
412638,MI,14,No,"Rep. Brenda Lawrence [D, 2015-2022]",Democrat
412639,MN,6,Aye,"Rep. Tom Emmer [R, 2015-2024]",Republican
412641,NC,7,Aye,"Rep. David Rouzer [R, 2015-2024]",Republican
412644,NJ,12,No,"Rep. Bonnie Watson Coleman [D, 2015-2024]",Democrat
412646,NY,1,Aye,"Rep. Lee Zeldin [R, 2015-2022]",Republican
412647,NY,4,No,"Rep. Kathleen Rice [D, 2015-2022]",Democrat
412648,NY,21,Aye,"Rep. Elise Stefanik [R, 2015-2024]",Republican
412649,NY,24,Aye,"Rep. John Katko [R, 2015-2022]",Republican
412652,PA,2,No,"Rep. Brendan Boyle [D, 2019-2024]",Democrat
412653,TX,4,Aye,"Rep. John Ratcliffe [R, 2015-2020]",Republican
412654,TX,23,Aye,"Rep. Will Hurd [R, 2015-2020]",Republican
412655,TX,36,Aye,"Rep. Brian Babin [R, 2015-2024]",Republican
412657,VA,8,No,"Rep. Donald Beyer [D, 2015-2024]",Democrat
412660,WA,4,Aye,"Rep. Dan Newhouse [R, 2015-2024]",Republican
412661,WI,6,Aye,"Rep. Glenn Grothman [R, 2015-2024]",Republican
412662,WV,2,Aye,"Rep. Alexander Mooney [R, 2015-2024]",Republican
412670,NC,6,Aye,"Rep. Mark Walker [R, 2015-2020]",Republican
412673,MS,1,Aye,"Rep. Trent Kelly [R, 2015-2024]",Republican
412674,IL,18,Aye,"Rep. Darin LaHood [R, 2015-2022]",Republican
412675,OH,8,Aye,"Rep. Warren Davidson [R, 2016-2024]",Republican
412676,KY,1,Aye,"Rep. James Comer [R, 2016-2024]",Republican
412677,PA,3,No,"Rep. Dwight Evans [D, 2019-2024]",Democrat
412682,AZ,1,No,"Rep. Tom O’Halleran [D, 2017-2022]",Democrat
412683,AZ,5,Aye,"Rep. Andy Biggs [R, 2017-2024]",Republican
412684,CA,17,No,"Rep. Ro Khanna [D, 2017-2024]",Democrat
412685,CA,20,No,"Rep. Jimmy Panetta [D, 2017-2022]",Democrat
412686,CA,24,No,"Rep. Salud Carbajal [D, 2017-2024]",Democrat
412687,CA,44,No,"Rep. Nanette Barragán [D, 2017-2024]",Democrat
412688,CA,46,No,"Rep. Luis Correa [D, 2017-2024]",Democrat
412689,DE,0,No,"Rep. Lisa Blunt Rochester [D, 2017-2024]",Democrat
412690,FL,1,Aye,"Rep. Matt Gaetz [R, 2017-2024]",Republican
412691,FL,2,Aye,"Rep. Neal Dunn [R, 2017-2024]",Republican
412692,FL,4,Aye,"Rep. John Rutherford [R, 2017-2022]",Republican
412693,FL,5,No,"Rep. Al Lawson [D, 2017-2022]",Democrat
412694,FL,7,No,"Rep. Stephanie Murphy [D, 2017-2022]",Democrat
412695,FL,9,No,"Rep. Darren Soto [D, 2017-2024]",Democrat
412696,FL,10,No,"Rep. Val Demings [D, 2017-2022]",Democrat
412697,FL,13,No,"Rep. Charlie Crist [D, 2017-2022]",Democrat
412698,FL,18,Aye,"Rep. Brian Mast [R, 2017-2022]",Republican
412699,FL,19,Aye,"Rep. Francis Rooney [R, 2017-2020]",Republican
412700,GA,3,Aye,"Rep. Drew Ferguson [R, 2017-2024]",Republican
412701,IL,8,No,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat
412702,IN,3,Aye,"Rep. Jim Banks [R, 2017-2024]",Republican
412703,IN,9,Aye,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican
412704,KS,1,Aye,"Rep. Roger Marshall [R, 2017-2020]",Republican
412705,LA,3,Aye,"Rep. Clay Higgins [R, 2017-2024]",Republican
412706,LA,4,Aye,"Rep. Mike Johnson [R, 2017-2024]",Republican
412707,MD,4,No,"Rep. Anthony Brown [D, 2017-2022]",Democrat
412708,MD,8,No,"Rep. Jamie Raskin [D, 2017-2024]",Democrat
412709,MI,1,Aye,"Rep. Jack Bergman [R, 2017-2024]",Republican
412710,MI,10,Aye,"Rep. Paul Mitchell [I, 2017-2020]",Republican
412712,NC,13,Aye,"Rep. Ted Budd [R, 2017-2022]",Republican
412713,NE,2,Aye,"Rep. Don Bacon [R, 2017-2024]",Republican
412714,NJ,5,No,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat
412717,NY,3,No,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat
412718,NY,13,No,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat
412721,PA,1,Aye,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican
