House Vote #273 2019-06-12T23:40:00 - H.Amdt. 289 (Foster) to H.R. 2740: To increase the Biomedical Advanced Research and Development Authority account by $1,000,000 to support increased R&D for biosecurity.
person,state,district,vote,name,party
412521,CA,47,Aye,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat
412522,CA,51,Aye,"Rep. Juan Vargas [D, 2013-2022]",Democrat
412523,CA,52,Aye,"Rep. Scott Peters [D, 2013-2022]",Democrat
412525,FL,3,Aye,"Rep. Ted Yoho [R, 2013-2020]",Republican
412529,FL,21,Aye,"Rep. Lois Frankel [D, 2017-2022]",Democrat
412531,GA,9,No,"Rep. Doug Collins [R, 2013-2020]",Republican
412532,HI,2,Aye,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat
412534,IL,10,Aye,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat
412536,IL,13,Aye,"Rep. Rodney Davis [R, 2013-2022]",Republican
412537,IL,17,Aye,"Rep. Cheri Bustos [D, 2013-2022]",Democrat
412538,IN,2,Aye,"Rep. Jackie Walorski [R, 2013-2022]",Republican
412539,IN,5,Aye,"Rep. Susan Brooks [R, 2013-2020]",Republican
412541,KY,6,No,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican
412543,MA,4,Aye,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat
412546,MI,5,Aye,"Rep. Daniel Kildee [D, 2013-2022]",Democrat
412548,MO,2,Aye,"Rep. Ann Wagner [R, 2013-2024]",Republican
412550,NC,8,Aye,"Rep. Richard Hudson [R, 2013-2022]",Republican
412552,NC,11,Aye,"Rep. Mark Meadows [R, 2013-2020]",Republican
412553,NC,2,No,"Rep. George Holding [R, 2017-2020]",Republican
412557,NH,2,Aye,"Rep. Ann Kuster [D, 2013-2024]",Democrat
412559,NV,4,Aye,"Rep. Steven Horsford [D, 2019-2024]",Democrat
412560,NY,6,Aye,"Rep. Grace Meng [D, 2013-2024]",Democrat
412561,NY,8,Aye,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat
412562,NY,18,Aye,"Rep. Sean Maloney [D, 2013-2022]",Democrat
412563,NY,27,Aye,"Rep. Chris Collins [R, 2013-2019]",Republican
412564,OH,2,Aye,"Rep. Brad Wenstrup [R, 2013-2024]",Republican
412565,OH,3,Aye,"Rep. Joyce Beatty [D, 2013-2024]",Democrat
412566,OH,14,Aye,"Rep. David Joyce [R, 2013-2024]",Republican
412568,OK,2,Aye,"Rep. Markwayne Mullin [R, 2013-2022]",Republican
412569,PA,10,Aye,"Rep. Scott Perry [R, 2019-2024]",Republican
412571,PA,8,Aye,"Rep. Matthew “Matt” Cartwright [D, 2019-2024]",Democrat
412572,SC,7,No,"Rep. Tom Rice [R, 2013-2022]",Republican
412574,TX,14,No,"Rep. Randy Weber [R, 2013-2024]",Republican
412576,TX,20,Aye,"Rep. Joaquin Castro [D, 2013-2024]",Democrat
412578,TX,25,Aye,"Rep. Roger Williams [R, 2013-2024]",Republican
412579,TX,33,Aye,"Rep. Marc Veasey [D, 2013-2024]",Democrat
412580,TX,34,Aye,"Rep. Filemon Vela [D, 2013-2022]",Democrat
412581,UT,2,Aye,"Rep. Chris Stewart [R, 2013-2023]",Republican
412583,WA,6,Aye,"Rep. Derek Kilmer [D, 2013-2024]",Democrat
412584,WA,10,Aye,"Rep. Denny Heck [D, 2013-2020]",Democrat
412585,WI,2,Aye,"Rep. Mark Pocan [D, 2013-2024]",Democrat
412595,IL,2,Aye,"Rep. Robin Kelly [D, 2013-2024]",Democrat
412596,MO,8,No,"Rep. Jason Smith [R, 2013-2024]",Republican
412600,MA,5,Aye,"Rep. Katherine Clark [D, 2013-2024]",Democrat
412601,AL,1,No,"Rep. Bradley Byrne [R, 2014-2020]",Republican
412606,NJ,1,Aye,"Rep. Donald Norcross [D, 2014-2024]",Democrat
412607,NC,12,Aye,"Rep. Alma Adams [D, 2014-2024]",Democrat
412608,AL,6,Aye,"Rep. Gary Palmer [R, 2015-2024]",Republican
412609,AR,2,Aye,"Rep. French Hill [R, 2015-2024]",Republican
412610,AR,4,Aye,"Rep. Bruce Westerman [R, 2015-2024]",Republican
412612,AZ,7,Aye,"Rep. Ruben Gallego [D, 2015-2022]",Democrat
412613,CA,11,Aye,"Rep. Mark DeSaulnier [D, 2015-2022]",Democrat
412615,CA,31,Aye,"Rep. Pete Aguilar [D, 2015-2022]",Democrat
